trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-69.22670426230368,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-157.18150090185935,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-61.11912687373901,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-185.29851520759047,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-125.89601786031842,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,9,-13.309300146975039,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-136.06125975534445,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-114.29270310718208,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-6.3015238697461236,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,0,-175.07840863931645,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-18.66154831476197,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-115.5714747037112,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,7,-112.87098658749804,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-114.89711612327129,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-122.20792773528903,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-61.45194434581339,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,0,-138.74165073029909,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-171.0960725732364,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,2,-15.56378605814762,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-104.73119552632686,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-136.9427552258868,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-89.2463824562463,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.631283645506926}",25,0,-42.001774238027664,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-18.761370235736297,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-53.807430523957784,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.5945205479701944}",30,1,-69.81527659747877,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-43.78071675064547,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,1.3326460190284717,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.559898366565402}",20,12,-92.65769945954621,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 2}",1
30,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,-38.460836765527596,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,0,-95.77296273376153,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,0,-30.76868770506302,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,4.90802723670313,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.5066169923655895}",30,12,-21.368621164326235,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,7,-53.54578590348462,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.4867522559599717}",30,18,8.369246650987755,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.4771139155210344}",35,0,-68.03127085745302,"{0: 26, 1: 4, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,8,1.7095816772689427,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.4584060113052235}",30,0,-80.91830585649085,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,13,-37.75634975275372,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.44043165450599925}",30,22,16.493878363415224,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,0,-19.286387936685184,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,0,-88.7944150649218,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,19,10.580419634693495,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,0,-7.909636037347034,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,12,3.0050980611573292,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,9,-66.08776722166144,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,0,-69.11187538149541,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,0,-48.33489865228171,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,14,-7.934318478393176,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,13,-3.0461196180675674,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.35345468195878016}",25,18,10.437824997984844,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.3464558103300574}",30,2,-19.577777688916665,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,0,14.101442422641192,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,14,-1.1645127838982579,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.32627979462303947}",35,17,2.0371125838062976,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,0,9.205410369639818,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.3134861808826053}",30,23,-28.207500479051486,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,0,-2.5557691127387505,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,0,-59.237202871729764,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.2952301669240142}",25,9,-36.728721964814085,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.2893842179390506}",25,17,9.636799444526243,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,4,20.49958281592463,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,12,-19.04454958628584,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,13,29.5526651759898,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,9,5.711318149017826,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.261845668580326}",25,7,6.232643195736495,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.2566607769535559}",30,15,21.035006536464657,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.25157855305975646}",25,15,-22.31437218813248,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,0,-7.867490057003865,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,6,25.291648330150494,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,10,3.372050460456655,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.23223627472975883}",25,1,-15.914890858851875,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,7,26.29972143268342,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,0,16.053914054659494,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.21871188695221475}",25,6,-53.57032962348578,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.21438110142697794}",25,6,-16.969011974896286,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.21013607120076472}",25,13,11.910278560371147,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.20597509820488344}",30,4,-26.774742616858546,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,10,14.656010379473685,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,6,-30.523198843008696,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,9,7.525995044497721,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,5,24.733981375472954,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,9,22.971593092815247,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,5,12.520714768171814,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,3,19.136870108566733,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,12,13.306093983817753,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,6,-4.3173068536178265,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.1686381472685955}",20,0,-78.97556165059841,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.16529888822158653}",30,7,35.16941900504089,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.16202575093388075}",20,9,2.952375784204687,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.15881742610692068}",25,3,25.088763871753628,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.1556726303679973}",30,2,35.359906025014126,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.15259010575688386}",20,12,13.997818187366068,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.14956861922263504}",30,0,11.971365547516896,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.14660696213035015}",35,12,2.7492698602923022,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.14370394977770293}",20,0,5.44845622144548,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.140858420921045}",20,0,20.319793889568004,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.13806923731089282}",25,9,20.8581084902316,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,8,9.108087682835102,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.13265546508012172}",25,20,8.670527373068655,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.1300287108784259}",20,10,20.639424351442024,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.12745396989482075}",25,15,12.027330419059732,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.12493021219858241}",35,23,22.67432748102746,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,0,-42.9716459173183,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.12003162851145673}",20,6,-21.897032671360392,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.11765484302177918}",20,0,21.22831627596867,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.11532512103806251}",25,10,25.768419712782716,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.11304153064044985}",20,12,3.9581795364405608,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.11080315836233387}",30,16,14.50965677524446,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.10860910882495796}",35,12,36.89650808635387,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.1064585043792528}",20,0,35.77842950293021,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.104350484754765}",20,0,28.655711117089293,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.10228420671553744}",25,15,16.959135583511067,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.1002588437228037}",25,0,-13.15639081106756,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.09827358560436154}",20,1,-22.42753748380041,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.09632763823049303}",30,13,4.350385403770349,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.09442022319630235}",20,3,-12.617588078726296,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.09255057751034329}",30,4,31.40627552988042,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
