trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-225.25110430263115,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-149.91855241081174,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-36.54102669848548,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-110.39433050170213,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-121.01917970051727,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-210.19650548779688,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-65.54972960140864,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-40.98251230063194,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.835270211411272}",30,9,-6.676095278310568,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-95.47794287311196,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-184.49879205065392,"{0: 14, 1: 5, 2: 1, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.7866278610665535}",30,0,-118.38632769509773,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-145.26765608537684,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-58.6576021522437,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-109.0267168334005,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,0,-98.90777815766296,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-104.12708628282391,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-150.5261651768875,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,0,-54.70749244276187,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,3,-50.450265205552405,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-172.62296612287292,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-99.5131079558704,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,1,-153.45327441595998,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 3}",1
4,True,"{'a': 0, 'e': 0}",30,0,-95.73543933735226,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-101.46970827789467,"{0: 20, 1: 0, 2: 8, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",35,0,-242.93291210527616,"{0: 19, 1: 3, 2: 7, 3: 3, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-89.6467370845362,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-140.13851893044526,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-118.71405056201434,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-194.103075793562,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
